Sample,Site,PlantTaxa,Burn Status,Urbanization,Latitude,Longitude,SoilHorizon,SOM (%),GWC (%),NH4 (ug/g dry soil),NO3 (ug/g dry soil),PO43 (ug/g dry soil)
BGB-AMPH-AMFb,BGB,Amphicarpaea_bracteata,None,Natural,35.68056602,-83.5231067,A,19.6759259,48.0144404,61.13665668,NA,2.80844471
BGB-PAQU-AMFb,BGB,Parthenocissus_quinquefolia,None,Natural,35.68056602,-83.5231067,A,19.6759259,48.0144404,61.13665668,NA,2.80844471
BGB-AMPH-AMFb,BGB,Amphicarpaea_bracteata,None,Natural,35.68056602,-83.5231067,B,7.7279753,33.436214,19.95044172,NA,2.122785907
BGB-PAQU-AMFb,BGB,Parthenocissus_quinquefolia,None,Natural,35.68056602,-83.5231067,B,7.7279753,33.436214,19.95044172,NA,2.122785907
CANEY-ACER-AMFb,CANEY,Acer_saccharum,None,Urban,35.71846638,-83.50647895,A,41.6886544,56.1342593,39.67329897,2.019738716,9.634274536
CANEY-PANI-AMFb,CANEY,Panicum_miliaceum,None,Urban,35.71846638,-83.50647895,A,41.6886544,56.1342593,39.67329897,2.019738716,9.634274536
CANEY-PLMA-AMFb,CANEY,Phytolacca_americana,None,Urban,35.71846638,-83.50647895,A,41.6886544,56.1342593,39.67329897,2.019738716,9.634274536
CANEY-SMIL-AMFb,CANEY,Smilax_glauca,None,Urban,35.71846638,-83.50647895,A,41.6886544,56.1342593,39.67329897,2.019738716,9.634274536
CANEY-VIOL-AMFb,CANEY,Viola_palmata,None,Urban,35.71846638,-83.50647895,A,41.6886544,56.1342593,39.67329897,2.019738716,9.634274536
CANEY-ACER-AMFb,CANEY,Acer_saccharum,None,Urban,35.71846638,-83.50647895,B,5.2013423,28.0193237,15.94359657,NA,0.720757761
CANEY-PANI-AMFb,CANEY,Panicum_miliaceum,None,Urban,35.71846638,-83.50647895,B,5.2013423,28.0193237,15.94359657,NA,0.720757761
CANEY-PLMA-AMFb,CANEY,Phytolacca_americana,None,Urban,35.71846638,-83.50647895,B,5.2013423,28.0193237,15.94359657,NA,0.720757761
