Samples,SITE,PLANT ID,Aseptate,Septate,Arbuscules,Vesicles,Soil Horizon,NH4,NO3,PO43
1,BGB,Amphicarpaea_bracteata,84,35,7,18,A,61.13665668,NA,2.80844471
2,BGB,Smilax_glauca,76,49,1,18,NA,NA,NA,NA
3,BGB,Parthenocissus_quinquefolia,65,29,2,6,A,61.13665668,NA,2.80844471
4,BGB,Viola_palmata,54,6,1,0,NA,NA,NA,NA
5,SGL,Phytolacca_americana,37,6,0,2,NA,NA,NA,NA
6,SGL,Smilax_glauca,57,25,2,5,NA,NA,NA,NA
7,SGL,Viola_palmata,21,2,6,1,NA,NA,NA,NA
8,SGL,Amphicarpaea_bracteata,83,17,1,2,NA,NA,NA,NA
9,LCM,Panicum_miliaceum,0,5,0,0,NA,NA,NA,NA
10,LCM,Lactuca_canadensis,4,1,1,0,B,2.116062269,0.436503141,0.7230996
11,LCM,Kalmia_latifolia,21,30,1,0,B,2.116062269,0.436503141,0.7230996
12,LCM,Smilax_glauca,9,2,1,2,NA,NA,NA,NA
13,GCL,Smilax_glauca,23,24,12,1,B,16.83057172,0.121729135,1.07062554
14,GCL,Lactuca_canadensis,4,3,5,1,B,16.83057172,0.121729135,1.07062554
15,GCL,Phytolacca_americana,52,29,7,1,NA,NA,NA,NA
16,GCL,Panicum_miliaceum,23,55,1,2,NA,NA,NA,NA
17,GCL,Lysimachia_quadrifolia,15,31,43,3,NA,NA,NA,NA
18,TREE,Smilax_glauca,46,7,40,1,NA,NA,NA,NA
19,TREE,Acer_saccharum,41,5,15,3,NA,NA,NA,NA
20,TREE,Viola_palmata,52,14,22,1,NA,NA,NA,NA
21,TREE,Parthenocissus_quinquefolia,41,21,2,1,NA,NA,NA,NA
22,FCM,Panicum_miliaceum,8,4,6,1,B,14.81173124,0.725507584,0.721739029
23,FCM,Lactuca_canadensis,4,0,22,3,B,14.81173124,0.725507584,0.721739029
24,FCM,Kalmia_latifolia,12,6,10,2,NA,NA,NA,NA
25,FCM,Smilax_glauca,28,2,23,2,B,14.81173124,0.725507584,0.721739029
26,SCM,Smilax_glauca,11,4,11,1,NA,NA,NA,NA
27,SCM,Lactuca_canadensis,31,3,33,2,B,1.116018803,0.376217218,0.703753289
28,SCM,Kalmia_latifolia,22,11,2,0,NA,NA,NA,NA
29,SCM,Panicum_miliaceum,13,4,2,1,B,1.116018803,0.376217218,0.703753289
30,TCL,Smilax_glauca,21,9,16,0,NA,NA,NA,NA
31,TCL,Lysimachia_quadrifolia,20,42,6,1,NA,NA,NA,NA
32,TCL,Phytolacca_americana,70,16,17,2,NA,NA,NA,NA
33,TCL,Parthenocissus_quinquefolia,30,7,4,0,NA,NA,NA,NA
34,FCL,Acer_saccharum,62,59,5,0,B,8.853284239,NA,0.809265152
35,FCL,Smilax_glauca,7,1,16,0,A,11.22777648,NA,24.46756285
36,FCL,Panicum_miliaceum,14,57,20,1,B,8.853284239,NA,0.809265152
37,FCL,Lysimachia_quadrifolia,20,64,28,0,NA,NA,NA,NA
38,NMT,Phytolacca_americana,41,9,14,2,B,8.204825969,0.561072227,5.18062718
39,NMT,Amphicarpaea_bracteata,59,16,7,0,A,37.32444286,2.676957054,4.633717547
40,NMT,Lactuca_canadensis,38,0,14,0,B,8.204825969,0.561072227,5.18062718
41,NMT,Parthenocissus_quinquefolia,31,7,18,0,B,8.204825969,0.561072227,5.18062718
42,WIN,Smilax_glauca,20,52,12,0,NA,NA,NA,NA
43,WIN,Acer_saccharum,17,62,13,0,A,19.20075946,1.468667799,3.239834955
44,WIN,Viola_palmata,30,1,20,0,A,19.20075946,1.468667799,3.239834955
45,WIN,Parthenocissus_quinquefolia,58,11,9,0,B,9.221568839,0.756774857,0.724203403
46,WIN,Amphicarpaea_bracteata,52,9,5,0,B,9.221568839,0.756774857,0.724203403
47,SKI,Viola_palmata,45,7,17,0,NA,NA,NA,NA
48,SKI,Parthenocissus_quinquefolia,27,30,11,0,A,11.81521729,2.294414556,4.995503601
49,SKI,Amphicarpaea_bracteata,47,0,1,0,B,8.641185658,1.422064875,0.908399383
50,PL441,Amphicarpaea_bracteata,90,51,6,0,A,37.32444286,2.676957054,4.633717547
51,PL441,Parthenocissus_quinquefolia,65,42,2,2,NA,NA,NA,NA
52,PL441,Smilax_glauca,41,12,16,1,NA,NA,NA,NA
53,PL441,Acer_saccharum,37,30,4,2,NA,NA,NA,NA
54,PL441,Viola_palmata,10,1,4,0,NA,NA,NA,NA
55,RS441,Smilax_glauca,50,23,19,1,A,40.5310906,1.398508604,6.853756247
56,RS441,Viola_palmata,41,7,17,0,NA,NA,NA,NA
57,RS441,Parthenocissus_quinquefolia,43,35,12,1,B,25.1929413,0.517921189,2.228598852
58,RS441,Amphicarpaea_bracteata,76,13,8,1,NA,NA,NA,NA
59,LGB,Lysimachia_quadrifolia,21,44,25,1,B,6.32130896,0.212702738,1.602109913
60,LGB,Lactuca_canadensis,32,5,35,1,B,6.32130896,0.212702738,1.602109913
61,LGB,Panicum_miliaceum,4,25,4,0,B,6.32130896,0.212702738,1.602109913
62,LGB,Smilax_glauca,6,12,26,0,B,6.32130896,0.212702738,1.602109913
63,LGB,Kalmia_latifolia,8,29,12,0,B,6.32130896,0.212702738,1.602109913
64,RGB,Lysimachia_quadrifolia,25,30,12,0,B,5.373876317,NA,0.947459684
65,RGB,Lactuca_canadensis,3,5,1,1,B,5.373876317,NA,0.947459684
66,RGB,Panicum_miliaceum,7,17,5,0,NA,NA,NA,NA
67,RGB,Smilax_glauca,5,39,5,1,NA,NA,NA,NA
68,RGB,Kalmia_latifolia,4,32,2,0,B,5.373876317,NA,0.947459684
69,DUD,Phytolacca_americana,52,19,16,4,B,1.15574813,NA,0.813451362
70,DUD,Panicum_miliaceum,1,7,0,0,B,1.15574813,NA,0.813451362
71,DUD,Lactuca_canadensis,31,26,25,1,B,1.15574813,NA,0.813451362
72,DUD,Smilax_glauca,6,18,10,0,B,1.15574813,NA,0.813451362
73,CANEY,Acer_saccharum,57,33,1,0,A,39.67329897,2.019738716,9.634274536
74,CANEY,Smilax_glauca,22,41,14,0,A,39.67329897,2.019738716,9.634274536
75,CANEY,Viola_palmata,36,10,6,0,A,39.67329897,2.019738716,9.634274536
76,CANEY,Phytolacca_americana,80,15,1,0,B,15.94359657,NA,0.720757761
77,CANEY,Panicum_miliaceum,15,12,2,0,B,15.94359657,NA,0.720757761
78,LOVE,Parthenocissus_quinquefolia,42,9,8,0,A,6.872941276,3.039598653,4.513903581
79,LOVE,Amphicarpaea_bracteata,34,9,1,0,A,6.872941276,3.039598653,4.513903581
80,LOVE,Lactuca_canadensis,21,3,7,0,A,6.872941276,3.039598653,4.513903581
81,LOVE,Viola_palmata,23,8,19,0,A,6.872941276,3.039598653,4.513903581
82,NEON,Phytolacca_americana,50,34,26,0,A,39.99403861,0.926105819,1.091561724
83,NEON,Viola_palmata,15,21,10,5,A,39.99403861,0.926105819,1.091561724
84,NEON,Smilax_glauca,17,20,22,0,A,39.99403861,0.926105819,1.091561724
85,NEON,Amphicarpaea_bracteata,69,22,11,0,A,39.99403861,0.926105819,1.091561724
86,NEON,Parthenocissus_quinquefolia,22,14,0,0,A,39.99403861,0.926105819,1.091561724
